Name,OOB
V17,0.2216598620420121
V10,0.17257467592831208
V14,0.16411775443855106
V11,0.07824649397302016
V7,0.04794911215261953
V16,0.044537965962740046
V3,0.04207767099558187
V4,0.0343054729025963
V12,0.02999812613323503
V6,0.021398392999385927
V2,0.020482484767376494
V9,0.019569353183267107
V19,0.008594976952459105
Scaled_Amount,0.00839827384960983
V20,0.008029193846248315
V21,0.007924755558342746
V27,0.007180288935976575
V23,0.006655538826654898
V15,0.006145097213243895
V26,0.005922749885598723
V8,0.005656534290705265
V18,0.005082150263896788
V13,0.004915594356467597
V5,0.004874163972715143
Scaled_Time,0.004786070871086185
V22,0.0045663092153568055
V1,0.004165390231353254
V25,0.0034862375692387136
V28,0.0034466778251129432
V24,0.0032526308572354734
